Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,--,0.982,0.000,1.000
O,0.1,--,0.982,0.000,1.000
O,0.15,--,0.982,0.000,1.000
O,0.2,--,0.982,0.000,1.000
O+Q,0.05,--,0.982,0.000,1.000
O+Q,0.1,--,0.982,0.000,1.000
O+Q,0.15,--,0.982,0.000,1.000
O+Q,0.2,--,0.982,0.000,1.000
S,0.05,--,0.982,0.000,1.000
S,0.1,--,0.982,0.000,1.000
S,0.15,--,0.982,0.000,1.000
S,0.2,--,0.982,0.000,1.000
O+S,0.05,--,0.982,0.000,1.000
O+S,0.1,--,0.982,0.000,1.000
O+S,0.15,--,0.982,0.000,1.000
O+S,0.2,--,0.982,0.000,1.000
O+Q+S,0.05,0.076,0.983,0.069,0.985
O+Q+S,0.1,--,0.982,0.000,1.000
O+Q+S,0.15,--,0.982,0.000,1.000
O+Q+S,0.2,--,0.982,0.000,1.000
